0,12
1,2
2,57
3,7
4,80
5,32
6,94
7,56
8,63
9,75
10,9
11,69
12,42
13,39
14,5
15,91
16,22
17,48
18,6
19,35
20,27
21,71
22,31
23,49
24,51
25,40
26,50
27,96
28,45
29,73
30,20
31,59
32,97
33,90
34,78
35,43
36,84
37,10
38,13
39,47
40,62
41,30
42,4
43,46
44,17
45,25
46,82
47,21
48,3
49,1
50,12
51,2
52,57
53,7
54,80
55,32
56,94
57,56
58,63
59,75
60,9
61,69
62,42
63,39
64,5
65,91
66,22
67,48
68,6
69,35
70,27
71,71
72,31
73,49
74,51
75,40
76,50
77,96
78,45
79,73
80,20
81,59
82,97
83,90
84,78
85,43
86,84
87,10
88,13
89,47
90,62
91,30
92,4
93,46
94,17
95,25
96,82
97,21
98,3
99,1
